,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
date,2018-01,2018-01,2018-01,2018-01,2018-01,2018-01,2018-01,2018-01,2018-01,2018-01,2018-01,2018-01,2018-01,2018-01,2018-01,2018-01,2018-01,2018-01,2018-01,2018-01,2018-01,2018-01,2018-02,2018-02,2018-02,2018-02,2018-02,2018-02,2018-02,2018-02,2018-02,2018-02,2018-02,2018-02,2018-02,2018-02,2018-02,2018-02,2018-02,2018-02,2018-03,2018-03,2018-03,2018-03,2018-03,2018-03,2018-03,2018-03,2018-03,2018-03,2018-03,2018-03,2018-03,2018-03,2018-03,2018-03,2018-03,2018-03,2018-03,2018-03,2018-03
avg,"6,850","6,830","6,850","6,850","7,000","7,000","7,000","7,000","6,960","6,800","7,000","6,400","6,260","6,300","6,360","6,500","6,460","6,400","6,400","6,900","7,800","8,300","8,360","9,100","10,000","10,600","10,900","10,500","10,200","9,300","9,100","8,800","8,200","8,400","8,400","8,200","8,200","8,500","8,600","8,600","8,600","8,600","8,800","8,800","8,700","8,700","9,200","8,600","8,900","8,800","8,300","8,300","8,200","8,400","9,000","9,200","9,200","9,100","8,900","8,600","8,500"
가을,"7,000","7,000","7,000","7,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
월동,"7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","7,500","8,500","8,500","9,000","9,000","10,000","10,000","10,000","9,000","9,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","8,500","8,500","8,500","8,500","8,500","8,500","9,000","9,000","9,000","9,000","9,000","9,000","8,500","8,500"
