,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
date,2015-01,2015-01,2015-01,2015-01,2015-01,2015-01,2015-01,2015-01,2015-01,2015-01,2015-01,2015-01,2015-01,2015-01,2015-01,2015-01,2015-01,2015-01,2015-01,2015-01,2015-01,2015-02,2015-02,2015-02,2015-02,2015-02,2015-02,2015-02,2015-02,2015-02,2015-02,2015-02,2015-02,2015-02,2015-02,2015-02,2015-02,2015-02,2015-03,2015-03,2015-03,2015-03,2015-03,2015-03,2015-03,2015-03,2015-03,2015-03,2015-03,2015-03,2015-03,2015-03,2015-03,2015-03,2015-03,2015-03,2015-03,2015-03,2015-03,2015-03
avg,"3,800","3,800","3,800","3,800","3,800","3,800","3,800","3,800","3,800","3,800","3,800","3,800","3,800","3,800","3,800","3,800","3,800","3,800","3,800","3,800","3,800","3,900","3,900","3,900","3,900","3,900","4,000","4,000","4,100","4,400","4,400","4,400","4,400","4,100","4,100","4,400","4,400","4,400","4,500","4,500","4,700","4,700","4,700","4,700","4,700","4,700","4,800","4,800","4,800","4,800","4,900","5,000","4,900","5,100","5,100","5,100","5,100","5,100","5,000","5,000"
가을,"4,000","4,000","4,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
월동,-,-,-,"4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,500","5,000","5,000","5,000","5,000","4,000","4,000","5,000","5,000","5,000","5,500","5,500","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","5,500","5,500","5,500","5,500","5,500","5,500","5,000","5,000"
