,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
date,2018-07,2018-07,2018-07,2018-07,2018-07,2018-07,2018-07,2018-07,2018-07,2018-07,2018-07,2018-07,2018-07,2018-07,2018-07,2018-07,2018-07,2018-07,2018-07,2018-07,2018-07,2018-07,2018-08,2018-08,2018-08,2018-08,2018-08,2018-08,2018-08,2018-08,2018-08,2018-08,2018-08,2018-08,2018-08,2018-08,2018-08,2018-08,2018-08,2018-08,2018-08,2018-08,2018-08,2018-08,2018-09,2018-09,2018-09,2018-09,2018-09,2018-09,2018-09,2018-09,2018-09,2018-09,2018-09,2018-09,2018-09,2018-09,2018-09,2018-09,2018-09
avg,"6,866","6,932","6,800","6,700","6,600","7,200","7,300","8,600","8,800","9,200","10,210","9,510","10,000","10,600","10,800","12,400","13,200","13,400","14,720","16,200","15,800","17,000","16,000","15,600","14,800","15,200","15,600","15,600","15,000","15,200","15,000","15,400","17,000","18,400","19,800","20,400","21,000","22,800","25,000","23,600","24,600","23,000","21,800","20,200","19,400","17,000","16,400","16,200","15,400","15,200","15,800","16,000","15,600","15,000","14,800","14,400","14,400","13,800","14,000","12,600","11,800"
º½,"7,000","7,000","7,000","6,000","6,000","7,000","7,000","9,000","9,000","9,000","10,000","9,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
°í·©Áö,-,-,-,-,-,-,-,-,-,-,"11,000","10,000","10,000","10,000","12,000","11,000","12,000","12,000","14,000","15,000","15,000","16,000","16,000","16,000","16,000","16,000","16,000","16,000","16,000","16,000","16,000","16,000","18,000","20,000","20,000","20,000","22,000","24,000","26,000","24,000","24,000","22,000","20,000","18,000","18,000","16,000","16,000","16,000","16,000","15,000","15,000","15,000","15,000","14,000","12,000","12,000","12,000","11,000","11,000","10,000","10,000"
