,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
date,2017-04,2017-04,2017-04,2017-04,2017-04,2017-04,2017-04,2017-04,2017-04,2017-04,2017-04,2017-04,2017-04,2017-04,2017-04,2017-04,2017-04,2017-04,2017-04,2017-04,2017-05,2017-05,2017-05,2017-05,2017-05,2017-05,2017-05,2017-05,2017-05,2017-05,2017-05,2017-05,2017-05,2017-05,2017-05,2017-05,2017-05,2017-05,2017-05,2017-06,2017-06,2017-06,2017-06,2017-06,2017-06,2017-06,2017-06,2017-06,2017-06,2017-06,2017-06,2017-06,2017-06,2017-06,2017-06,2017-06,2017-06,2017-06,2017-06,2017-06
avg,"9,300","9,300","9,100","8,700","8,500","8,000","8,400","7,500","7,400","7,400","7,200","7,200","7,400","7,400","7,400","7,400","7,100","7,000","7,000","6,800","5,350","5,500","5,650","5,650","4,000","4,000","3,700","3,800","3,800","3,700","3,900","4,300","4,300","4,300","4,300","4,300","3,500","3,900","3,700","3,600","3,900","4,300","5,200","5,200","5,300","4,700","4,500","4,500","4,400","4,300","4,700","4,700","4,700","5,300","5,800","5,500","5,600","5,600","5,600","5,400"
º½,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","5,000","5,000","5,000","5,000","5,000","4,000","4,000","4,000","4,000","4,000","4,000","5,000","6,000","5,000","5,000","4,000","4,000","4,000","4,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
¿ùµ¿,"8,000","8,000","8,000","8,000","8,000","8,000","8,000","7,000","7,000","7,000","7,000","7,000","8,000","8,000","8,000","8,000","9,000","9,000","9,000","8,000","8,000","9,000","9,000","9,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
