,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
date,2016-10,2016-10,2016-10,2016-10,2016-10,2016-10,2016-10,2016-10,2016-10,2016-10,2016-10,2016-10,2016-10,2016-10,2016-10,2016-10,2016-10,2016-10,2016-10,2016-10,2016-11,2016-11,2016-11,2016-11,2016-11,2016-11,2016-11,2016-11,2016-11,2016-11,2016-11,2016-11,2016-11,2016-11,2016-11,2016-11,2016-11,2016-11,2016-11,2016-11,2016-11,2016-11,2016-12,2016-12,2016-12,2016-12,2016-12,2016-12,2016-12,2016-12,2016-12,2016-12,2016-12,2016-12,2016-12,2016-12,2016-12,2016-12,2016-12,2016-12,2016-12,2016-12,2016-12
avg,"17,800","16,600","16,000","14,800","12,600","11,600","10,400","9,600","10,000","10,000","10,000","9,400","8,800","8,800","8,000","8,000","8,000","7,400","7,400","7,400","7,100","7,000","7,000","6,900","6,600","6,800","7,400","7,200","7,400","7,400","7,400","8,000","8,200","9,800","10,200","10,000","10,200","10,400","10,400","10,400","10,400","10,200","10,400","10,200","10,000","9,400","9,400","8,800","9,200","9,000","8,800","8,800","9,600","9,200","9,000","9,500","9,300","9,000","9,200","9,200","9,200","9,200","9,000"
°í·©Áö,"18,000","16,000","16,000","13,000","10,000","10,000","10,000","10,000","11,000","10,000","10,000","9,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","7,000","8,000","8,000","8,000","8,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
°¡À»,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","8,000","8,000","8,000","8,000","9,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","10,000","10,000","9,000","9,000","9,000","10,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000"
