,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
date,2015-04,2015-04,2015-04,2015-04,2015-04,2015-04,2015-04,2015-04,2015-04,2015-04,2015-04,2015-04,2015-04,2015-04,2015-04,2015-04,2015-04,2015-04,2015-04,2015-04,2015-04,2015-04,2015-05,2015-05,2015-05,2015-05,2015-05,2015-05,2015-05,2015-05,2015-05,2015-05,2015-05,2015-05,2015-05,2015-05,2015-05,2015-05,2015-05,2015-05,2015-06,2015-06,2015-06,2015-06,2015-06,2015-06,2015-06,2015-06,2015-06,2015-06,2015-06,2015-06,2015-06,2015-06,2015-06,2015-06,2015-06,2015-06,2015-06,2015-06,2015-06,2015-06
avg,"4,900","5,000","5,000","5,000","5,000","5,000","4,800","4,800","4,800","4,800","4,800","4,800","4,800","4,800","4,900","4,900","5,100","5,100","5,300","5,300","5,400","5,500","5,900","6,700","6,900","6,900","7,100","7,350","7,350","7,350","7,350","10,700","11,100","11,100","11,300","11,100","11,100","11,000","10,800","10,500","9,000","9,000","8,600","7,600","7,600","7,400","7,500","7,600","8,100","8,000","7,600","7,100","7,100","6,700","6,700","6,800","6,900","7,000","7,000","7,000","7,000","7,000"
º½,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,000","8,000","8,000","8,000","10,000","11,000","11,000","11,000","10,000","10,000","10,000","10,000","9,000","9,000","9,000","8,000","8,000","8,000","7,000","7,500","8,000","9,000","8,000","7,000","6,500","6,500","6,500","6,500","7,000","6,500","7,000","7,000","7,000","7,000","7,000"
¿ùµ¿,"4,500","4,500","4,500","4,500","4,500","4,500","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,500","4,500","5,000","5,500","7,500","7,500","7,500","7,500","7,500","8,000","9,000","9,000","9,000","13,000","13,000","13,000","13,000","12,000","12,000","12,000","13,000","13,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
