,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
date,2016-01,2016-01,2016-01,2016-01,2016-01,2016-01,2016-01,2016-01,2016-01,2016-01,2016-01,2016-01,2016-01,2016-01,2016-01,2016-01,2016-01,2016-01,2016-01,2016-01,2016-02,2016-02,2016-02,2016-02,2016-02,2016-02,2016-02,2016-02,2016-02,2016-02,2016-02,2016-02,2016-02,2016-02,2016-02,2016-02,2016-02,2016-02,2016-03,2016-03,2016-03,2016-03,2016-03,2016-03,2016-03,2016-03,2016-03,2016-03,2016-03,2016-03,2016-03,2016-03,2016-03,2016-03,2016-03,2016-03,2016-03,2016-03,2016-03,2016-03
avg,"4,400","4,500","4,500","4,550","4,550","4,700","4,700","4,700","4,800","4,800","5,100","5,300","5,700","5,800","6,300","6,900","6,700","7,400","7,400","7,600","7,100","7,000","7,100","7,100","7,200","7,000","7,000","7,600","8,000","8,400","8,800","9,000","8,800","9,400","9,600","9,200","9,800","10,000","11,100","11,000","11,000","11,600","11,800","11,800","11,800","11,800","11,600","11,600","11,800","11,800","12,000","12,000","12,200","12,200","12,000","12,200","13,200","13,200","13,200","13,200"
가을,"4,500","4,500","4,500","4,500","4,500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
월동,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","6,000","6,000","6,500","7,000","7,000","7,000","7,000","7,000","7,000","7,000","6,500","7,000","7,000","7,500","7,500","7,500","8,000","8,000","8,000","8,000","9,000","9,000","9,000","10,000","10,000","10,000","10,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","13,000","13,000","13,000","13,000"
