,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
date,2015-07,2015-07,2015-07,2015-07,2015-07,2015-07,2015-07,2015-07,2015-07,2015-07,2015-07,2015-07,2015-07,2015-07,2015-07,2015-07,2015-07,2015-07,2015-07,2015-07,2015-07,2015-07,2015-07,2015-08,2015-08,2015-08,2015-08,2015-08,2015-08,2015-08,2015-08,2015-08,2015-08,2015-08,2015-08,2015-08,2015-08,2015-08,2015-08,2015-08,2015-08,2015-08,2015-08,2015-09,2015-09,2015-09,2015-09,2015-09,2015-09,2015-09,2015-09,2015-09,2015-09,2015-09,2015-09,2015-09,2015-09,2015-09,2015-09,2015-09,2015-09,2015-09,2015-09
avg,"7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","6,400","6,300","6,300","6,100","5,900","5,900","5,800","5,800","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,800","6,100","6,550","6,900","6,900","7,056","7,500","7,000","6,800","6,900","6,900","6,900","6,900","7,400","7,100","6,800","6,800","6,600","6,600","5,700","5,800","6,100","6,000","5,900","5,900","5,800","5,800","5,800","5,800","5,900","6,000","5,800","6,100","6,400","7,000","6,600","6,600"
º½,"7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","6,500","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
°í·©Áö,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,000","8,000","8,000","8,000","8,500","8,500","7,000","6,000","6,500","6,500","6,500","6,500","9,000","7,500","6,000","6,000","6,000","6,000","5,500","6,000","7,000","6,500","6,000","6,000","6,000","6,000","6,000","6,000","6,500","7,000","6,000","6,500","7,000","7,000","7,000","7,000"
