,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
date,2016-07,2016-07,2016-07,2016-07,2016-07,2016-07,2016-07,2016-07,2016-07,2016-07,2016-07,2016-07,2016-07,2016-07,2016-07,2016-07,2016-07,2016-07,2016-07,2016-07,2016-07,2016-08,2016-08,2016-08,2016-08,2016-08,2016-08,2016-08,2016-08,2016-08,2016-08,2016-08,2016-08,2016-08,2016-08,2016-08,2016-08,2016-08,2016-08,2016-08,2016-08,2016-08,2016-08,2016-09,2016-09,2016-09,2016-09,2016-09,2016-09,2016-09,2016-09,2016-09,2016-09,2016-09,2016-09,2016-09,2016-09,2016-09,2016-09,2016-09,2016-09,2016-09
avg,"5,700","5,700","6,200","6,500","7,200","7,200","7,000","7,400","8,400","8,400","8,400","8,400","8,200","7,900","7,600","7,700","7,700","7,800","7,800","8,100","8,300","10,600","11,400","11,600","11,200","11,800","11,200","11,800","12,800","13,200","13,400","13,800","15,200","15,200","15,600","17,800","18,200","18,200","18,400","19,200","20,000","21,600","23,000","23,800","23,400","23,000","22,600","22,200","23,000","21,400","21,000","23,000","19,800","20,200","20,400","20,000","19,600","19,800","19,800","19,600","18,600","18,600"
º½,"5,000","5,000","6,000","5,500","7,000","7,000","6,000","7,000","8,000","9,000","9,000","9,000","8,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
°í·©Áö,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,000","9,000","8,000","9,000","8,000","9,000","9,000","10,000","11,000","11,000","11,000","13,000","11,000","12,000","13,000","13,000","14,000","15,000","16,000","16,000","16,000","20,000","20,000","20,000","19,000","22,000","22,000","23,000","23,000","24,000","24,000","23,000","23,000","21,000","21,000","21,000","18,000","21,000","20,000","19,000","19,000","20,000","20,000","21,000","21,000","23,000","22,000","20,000"
