,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
date,2019-04,2019-04,2019-04,2019-04,2019-04,2019-04,2019-04,2019-04,2019-04,2019-04,2019-04,2019-04,2019-04,2019-04,2019-04,2019-04,2019-04,2019-04,2019-04,2019-04,2019-04,2019-04,2019-05,2019-05,2019-05,2019-05,2019-05,2019-05,2019-05,2019-05,2019-05,2019-05,2019-05,2019-05,2019-05,2019-05,2019-05,2019-05,2019-05,2019-05,2019-05,2019-05,2019-05,2019-06,2019-06,2019-06,2019-06,2019-06,2019-06,2019-06,2019-06,2019-06,2019-06,2019-06,2019-06,2019-06,2019-06,2019-06,2019-06,2019-06,2019-06,2019-06
avg,"3,660","3,620","3,400","3,340","3,340","3,340","3,340","3,340","3,240","3,240","3,340","3,340","3,340","3,340","3,340","3,340","3,340","3,440","3,500","3,640","3,640","3,640","3,540","3,540","3,540","3,610","3,640","3,690","3,600","3,600","3,760","3,610","3,900","4,600","4,315","4,020","4,070","4,020","4,100","4,200","4,300","4,160","4,160","4,320","4,640","4,640","5,060","5,060","5,060","5,500","6,000","6,200","6,100","6,300","6,200","6,000","6,000","6,000","5,900","5,900","6,700","7,600"
º½,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,000","3,500","3,500","3,500","3,500","4,000","4,500","4,000","4,000","4,500","5,000","5,000","6,000","6,000","6,000","6,500","6,500","6,500","7,000","7,000","7,000","6,000","6,000","6,000","6,000","6,000","7,000","8,000"
¿ùµ¿,"3,500","3,500","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,500","3,500","3,500","3,500","3,500","3,500","3,500","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,000","4,000","5,000","4,000","4,000","4,000","4,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
